Date,Contributions_Account1_USD
15/01/19,1000
15/02/19,1000
15/03/19,1000
15/04/19,1000
15/05/19,1000
15/06/19,1000
15/07/19,1000
15/08/19,1000
15/09/19,1000
15/10/19,1000
15/11/19,1000
15/12/19,1000
15/01/20,1000
15/02/20,1000
15/03/20,1000
15/04/20,1000
15/05/20,1000
15/06/20,1000
15/07/20,1000
15/08/20,1000
15/09/20,1000
15/10/20,1000
15/11/20,1000
15/12/20,1000
15/01/21,1000
15/02/21,1000
15/03/21,1000
15/04/21,1000
15/05/21,1000
15/06/21,1000
15/07/21,1000
15/08/21,1000
15/09/21,1000
15/10/21,1000
15/11/21,1000
15/12/21,1000
15/01/22,1000
15/02/22,1000
15/03/22,1000
15/04/22,1000
15/05/22,1000
15/06/22,1000
15/07/22,1000
15/08/22,1000
15/09/22,1000